M B NP: org.apache.commons.lang3.time.FormatCache$MultipartKey.equals(Object) は，null の引数をチェックしていません。  該当箇所 FormatCache.java:[line 246]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 430]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 442]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.lexx(String)  該当箇所 DurationFormatUtils.java:[line 542]
M C UR: スーパークラスのコンストラクタから呼び出されるとき，registry は org.apache.commons.lang3.text.ExtendedMessageFormat.applyPattern(String) で初期化されません。  該当箇所 ExtendedMessageFormat.java:[line 146]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.text.ExtendedMessageFormat.parseFormatDescription(String, ParsePosition)  該当箇所 ExtendedMessageFormat.java:[lines 378-389]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.time.DateUtils.modify(Calendar, int, int)  該当箇所 DateUtils.java:[lines 1047-1073]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.time.DateUtils.iterator(Calendar, int)  該当箇所 DateUtils.java:[lines 1182-1196]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.time.DateUtils.getFragment(Calendar, int, int)  該当箇所 DateUtils.java:[lines 1690-1695]
M D SF: 1つの case が次の case へと通り抜ける switch 文を見つけました。org.apache.commons.lang3.time.DateUtils.getFragment(Calendar, int, int)  該当箇所 DateUtils.java:[lines 1707-1710]
M B NP: org.apache.commons.lang3.BooleanUtils.negate(Boolean) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 65]
M B NP: org.apache.commons.lang3.BooleanUtils.toBooleanObject(Integer) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 240]
M B NP: org.apache.commons.lang3.BooleanUtils.toBooleanObject(int, int, int, int) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 332]
M B NP: org.apache.commons.lang3.BooleanUtils.toBooleanObject(Integer, Integer, Integer, Integer) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 365]
M B NP: org.apache.commons.lang3.BooleanUtils.toBooleanObject(String) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 556]
M B NP: org.apache.commons.lang3.BooleanUtils.toBooleanObject(String, String, String, String) は，戻り型が Boolean なのに明示的に null を返しています。  該当箇所 BooleanUtils.java:[line 661]
H B ES: String パラメータを == や != を使用して比較しています。org.apache.commons.lang3.BooleanUtils.toBooleanObject(String)  該当箇所 BooleanUtils.java:[line 552]
M B RC: Boolean 値の疑わしい参照比較です。org.apache.commons.lang3.BooleanUtils.toBoolean(String)  該当箇所 BooleanUtils.java:[line 706]
H C RpC: 条件テストを繰り返しています。org.apache.commons.lang3.math.NumberUtils.createBigInteger(String)  該当箇所 NumberUtils.java:[line 734]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.math.NumberUtils.createNumber(String)  該当箇所 NumberUtils.java:[lines 527-568]
M D SF: 1つの case が次の case へと通り抜ける switch 文を見つけました。org.apache.commons.lang3.math.NumberUtils.createNumber(String)  該当箇所 NumberUtils.java:[lines 552-559]
